,Neighborhood,Price,Number of Beds,Number of Baths
0,"Prudential - St. Botolph, Back Bay, Boston","$5,599",2 Bed,2 Bath
1,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,980",1 Bed,1 Bath
2,"Bay Village, Boston","$4,415",1 Bed,1 Bath
3,"Central Maverick Square - Paris Street, East Boston, Boston","$2,652",1 Bed,1 Bath
4,"Riverside, Cambridge","$1,925",1 Bed,1 Bath
5,"Downtown Boston, Boston","$5,735",3 Bed,2 Bath
6,"Mission Hill, Boston","$2,410",Studio,1 Bath
7,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,997",2 Bed,2 Bath
8,"West End, Boston","$3,620",2 Bed,2 Bath
9,"Central Maverick Square - Paris Street, East Boston, Boston","$3,699",2 Bed,1.5 Bath
10,"Prudential - St. Botolph, Back Bay, Boston","$4,225",1 Bed,1 Bath
11,"Seaport District, D Street - West Broadway, South Boston, Boston","$6,019",2 Bed,2 Bath
12,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,291",Studio,1 Bath
13,"Downtown Boston, Boston","$2,890",1 Bed,1 Bath
14,"Central Maverick Square - Paris Street, East Boston, Boston","$3,499",2 Bed,2 Bath
15,"Bay Village, Boston","$4,075",1 Bed,1 Bath
16,"Chinatown - Leather District, Boston","$3,564",1 Bed,1 Bath
17,"Downtown Boston, Boston","$3,275",1 Bed,1 Bath
18,"Central Maverick Square - Paris Street, East Boston, Boston","$2,600",1 Bed,1 Bath
19,"Medford Street - The Neck, Charlestown, Boston","$2,841",1 Bed,1 Bath
20,"West End, Boston","$2,415",Studio,1 Bath
21,"Mission Hill, Boston","$2,410",Studio,1 Bath
22,"Prudential - St. Botolph, Back Bay, Boston","$5,815",2 Bed,2 Bath
23,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,997",2 Bed,2 Bath
24,"Shawmut, South End, Boston","$3,966",2 Bed,2 Bath
25,"West End, Boston","$3,620",2 Bed,2 Bath
26,"Central Maverick Square - Paris Street, East Boston, Boston","$3,699",2 Bed,1.5 Bath
27,"Prudential - St. Botolph, Back Bay, Boston","$4,225",1 Bed,1 Bath
28,"Seaport District, D Street - West Broadway, South Boston, Boston","$6,019",2 Bed,2 Bath
29,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,291",Studio,1 Bath
30,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,925",1 Bed,1 Bath
31,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,705",2 Bed,2 Bath
32,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,450",2 Bed,1 Bath
33,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,568",1 Bed,1 Bath
34,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,300",3 Bed,1 Bath
35,"Shawmut, South End, Boston","$3,219",Studio,1 Bath
36,"North End, Boston","$4,420",2 Bed,2 Bath
37,"Prudential - St. Botolph, Back Bay, Boston","$4,175",1 Bed,1 Bath
38,"Prudential - St. Botolph, Back Bay, Boston","$3,155",1 Bed,1 Bath
39,"Shawmut, South End, Boston","$4,994",2 Bed,2 Bath
40,"Central Maverick Square - Paris Street, East Boston, Boston","$2,702",1 Bed,1 Bath
41,"Bay Village, Boston","$5,150",1 Bed,1 Bath
42,"Central Maverick Square - Paris Street, East Boston, Boston","$2,727",1 Bed,1 Bath
43,"Prudential - St. Botolph, Back Bay, Boston","$4,970",1 Bed,1 Bath
44,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,291",Studio,1 Bath
45,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,925",1 Bed,1 Bath
46,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,705",2 Bed,2 Bath
47,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,450",2 Bed,1 Bath
48,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",1 Bed,1 Bath
49,"West End, Boston","$3,435",2 Bed,2 Bath
50,"Downtown Boston, Boston","$3,075",1 Bed,1 Bath
51,"Downtown Boston, Boston","$2,930",1 Bed,1 Bath
52,"Chinatown - Leather District, Boston","$4,373",1 Bed,1 Bath
53,"Downtown Boston, Boston","$4,420",2 Bed,2 Bath
54,"Central Maverick Square - Paris Street, East Boston, Boston","$2,577",1 Bed,1 Bath
55,"Shawmut, South End, Boston","$6,853",3 Bed,2 Bath
56,"Shawmut, South End, Boston","$8,166",3 Bed,3 Bath
57,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,025",1 Bed,1 Bath
58,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,568",1 Bed,1 Bath
